ClientID,ClientName,PriorityLevel,RequestedTaskIDs,GroupTag,AttributesJSON
C46,Theta Co,3,"T2,T4",GroupC,"{""location"": ""CA"", ""budget"": 19767}"
C47,Iota Partners,4,"T2,T3",GroupC,"{""location"": ""CA"", ""budget"": 33129}"
C48,Zeta Group,5,"T2,T4",GroupA,"{""location"": ""GA"", ""budget"": 35686}"
C49,Iota Partners,3,"T1,T4",GroupC,"{""location"": ""NY"", ""budget"": 40527}"
C50,Theta Co,4,"T1,T2",GroupD,"{""location"": ""FL"", ""budget"": 45810}"
C51,Zeta Group,3,"T1,T4",GroupB,"{""location"": ""MI"", ""budget"": 30986}"
C52,Zeta Group,5,"T2,T4",GroupD,"{""location"": ""IL"", ""budget"": 43564}"
C53,Zeta Group,3,"T2,T4",GroupC,"{""location"": ""TX"", ""budget"": 30458}"
C54,Alice Corp,5,"T3,T4",GroupD,"{""location"": ""FL"", ""budget"": 18960}"
C55,Beta LLC,3,"T3,T4",GroupB,"{""location"": ""GA"", ""budget"": 13305}"
C56,Delta Ltd,5,"T2,T4",GroupA,"{""location"": ""WA"", ""budget"": 42708}"
C57,Iota Partners,5,"T2,T4",GroupC,"{""location"": ""WA"", ""budget"": 47907}"
C58,Alice Corp,3,"T2,T3",GroupB,"{""location"": ""NY"", ""budget"": 24281}"
C59,Zeta Group,4,"T3,T4",GroupA,"{""location"": ""TX"", ""budget"": 23296}"
C60,Beta LLC,3,"T2,T4",GroupC,"{""location"": ""MI"", ""budget"": 40209}"
C61,Lambda Org,1,"T2,T3",GroupD,"{""location"": ""NY"", ""budget"": 35323}"
C62,Alice Corp,3,"T3,T4",GroupA,"{""location"": ""NY"", ""budget"": 15494}"
C63,Gamma Inc,1,"T2,T4",GroupB,"{""location"": ""NY"", ""budget"": 49767}"
C64,Alice Corp,3,"T1,T2",GroupD,"{""location"": ""NY"", ""budget"": 31635}"
C65,Zeta Group,4,"T1,T4",GroupC,"{""location"": ""OH"", ""budget"": 28001}"
C66,Lambda Org,5,"T2,T3",GroupD,"{""location"": ""TX"", ""budget"": 46325}"
C67,Kappa Ltd,1,"T2,T4",GroupA,"{""location"": ""WA"", ""budget"": 27688}"
C68,Gamma Inc,1,"T1,T2",GroupA,"{""location"": ""CA"", ""budget"": 17810}"
C69,Alice Corp,2,"T1,T4",GroupD,"{""location"": ""CA"", ""budget"": 39130}"
C70,Iota Partners,3,"T2,T4",GroupD,"{""location"": ""WA"", ""budget"": 19642}"
C71,Lambda Org,5,"T2,T4",GroupA,"{""location"": ""NC"", ""budget"": 31963}"
C72,Lambda Org,1,"T1,T4",GroupA,"{""location"": ""TX"", ""budget"": 39153}"
C73,Iota Partners,1,"T2,T4",GroupB,"{""location"": ""GA"", ""budget"": 11315}"
C74,Kappa Ltd,2,"T3,T4",GroupA,"{""location"": ""OH"", ""budget"": 43879}"
C75,Iota Partners,3,"T2,T4",GroupB,"{""location"": ""TX"", ""budget"": 36452}"
C76,Gamma Inc,1,"T1,T2",GroupB,"{""location"": ""CA"", ""budget"": 40351}"
C77,Delta Ltd,5,"T1,T2",GroupD,"{""location"": ""NC"", ""budget"": 24931}"
C78,Theta Co,2,"T2,T4",GroupB,"{""location"": ""IL"", ""budget"": 24387}"
C79,Alice Corp,3,"T2,T4",GroupB,"{""location"": ""FL"", ""budget"": 24043}"
C80,Iota Partners,4,"T1,T4",GroupC,"{""location"": ""TX"", ""budget"": 14277}"
C81,Iota Partners,1,"T3,T4",GroupB,"{""location"": ""NC"", ""budget"": 22204}"
C82,Kappa Ltd,4,"T1,T4",GroupC,"{""location"": ""CA"", ""budget"": 26601}"
C83,Epsilon Org,5,"T3,T4",GroupD,"{""location"": ""OH"", ""budget"": 15611}"
C84,Alice Corp,4,"T3,T4",GroupB,"{""location"": ""IL"", ""budget"": 33924}"
C85,Theta Co,1,"T3,T4",GroupD,"{""location"": ""NC"", ""budget"": 40391}"
C86,Epsilon Org,1,"T1,T4",GroupD,"{""location"": ""TX"", ""budget"": 41095}"
C87,Kappa Ltd,1,"T2,T4",GroupC,"{""location"": ""TX"", ""budget"": 33007}"
C88,Beta LLC,1,"T2,T4",GroupB,"{""location"": ""NY"", ""budget"": 28866}"
C89,Alice Corp,1,"T2,T4",GroupB,"{""location"": ""GA"", ""budget"": 26174}"
C90,Lambda Org,5,"T1,T2",GroupB,"{""location"": ""IL"", ""budget"": 45702}"
C91,Theta Co,4,"T3,T4",GroupC,"{""location"": ""OH"", ""budget"": 29500}"
C92,Epsilon Org,5,"T2,T4",GroupC,"{""location"": ""CA"", ""budget"": 13507}"
C93,Theta Co,1,"T1,T4",GroupD,"{""location"": ""TX"", ""budget"": 18493}"
C94,Beta LLC,1,"T1,T4",GroupA,"{""location"": ""CA"", ""budget"": 23169}"
C95,Delta Ltd,2,"T1,T4",GroupB,"{""location"": ""TX"", ""budget"": 17734}"
C96,Gamma Inc,3,"T1,T4",GroupA,"{""location"": ""WA"", ""budget"": 10004}"
C97,Iota Partners,3,"T2,T4",GroupA,"{""location"": ""GA"", ""budget"": 33228}"
C98,Kappa Ltd,1,"T1,T4",GroupD,"{""location"": ""TX"", ""budget"": 20723}"
C99,Beta LLC,3,"T3,T4",GroupA,"{""location"": ""FL"", ""budget"": 41515}"
C100,Alice Corp,2,"T2,T3",GroupB,"{""location"": ""CA"", ""budget"": 27604}"
